Memory used  (%),CPU utilization (%),Free disk space on C: (%),Free disk space on D: (%),Class
10.4337,4.5913,36.3923,96.6837,0
16.6086,12.7726,36.3934,96.6837,0
10.7285,2.6699,36.395,96.6837,0
10.786,0.7862,36.3933,96.6837,0
13.8812,13.5395,36.3944,96.6837,0
9.529,0.9373,36.3955,96.6837,0
9.5687,0.8412,36.3971,96.6837,0
9.5388,0.7496,36.3953,96.6837,0
9.5605,0.7963,36.3964,96.6837,0
9.5661,0.753,36.3975,96.6837,0
9.5455,0.773,36.3989,96.6837,0
11.8166,9.2041,36.3973,96.6837,0
14.7049,9.2582,36.3984,96.6837,0
18.1266,12.8302,36.3994,96.6837,0
10.2847,1.2625,36.4011,96.6837,0
10.289,0.6848,36.3993,96.6837,0
10.3567,1.7568,36.4003,96.6837,0
13.1799,12.3342,36.4032,96.6837,0
17.9787,22.4355,36.4052,96.6837,0
15.1373,8.8531,36.4039,96.6837,0
17.8718,12.1392,36.405,96.6837,0
9.6762,1.3232,36.4061,96.6837,0
9.6493,2.0861,36.4072,96.6837,0
9.7286,0.7348,36.4064,96.6837,0
16.0539,15.0804,36.4075,96.6837,0
9.4171,0.8249,36.4091,96.6837,0
9.4152,0.6187,36.4106,96.6837,0
9.4121,0.7894,36.4088,96.6837,0
9.4083,0.703,36.4099,96.6837,0
10.7352,8.9515,36.411,96.6837,0
10.7537,14.5856,36.4097,96.6837,0
15.0923,21.3878,36.4118,96.6837,0
10.2822,0.909,36.4129,96.6838,0
10.3342,0.7649,36.4139,96.6838,0
14.186,9.4179,36.4127,96.6838,0
14.5531,10.1521,36.4139,96.6838,0
9.5449,0.6265,36.4149,96.6838,0
9.5427,0.8205,36.416,96.6838,0
9.4771,0.7828,36.4157,96.6838,0
9.4758,0.7195,36.4171,96.6838,0
19.6472,22.542,36.4182,96.6838,0
15.5559,11.5984,36.4168,96.6838,0
16.7559,14.4825,36.4179,96.6838,0
9.3661,0.6844,36.419,96.6838,0
9.3942,0.7265,36.4206,96.6838,0
9.3889,6.396,36.4189,96.6838,0
10.0103,9.5487,36.42,96.6838,0
18.9584,20.1353,36.4211,96.6838,0
10.7484,2.0926,36.4203,96.6838,0
9.4008,0.6917,36.4224,96.6838,0
9.3885,0.6677,36.4216,96.6838,0
9.4262,2.8205,36.4227,96.6838,0
11.0857,10.0577,36.4238,96.6838,0
14.3225,8.9137,36.4254,96.6838,0
16.5805,36.0472,36.4237,96.6838,0
10.1958,0.6901,36.4249,96.6838,0
15.1019,8.8652,36.427,96.6838,0
14.6694,8.1471,36.4256,96.6838,0
9.6314,0.8539,36.4276,96.6838,0
9.6495,0.8404,36.4293,96.6838,0
9.6176,0.65,36.4275,96.6838,0
9.6356,0.6613,36.4287,96.6838,0
18.2193,13.7283,36.4307,96.6838,0
17.4449,19.4078,36.4295,96.6838,0
18.5888,31.5538,36.4305,96.6838,0
